image,category,level,response,RT,seed,model
simulated,0,super,yes,265.81502255645705,1,simulated
simulated,0,super,yes,264.03631502782866,1,simulated
simulated,0,super,yes,265.885719101443,1,simulated
simulated,0,super,yes,268.28184556290233,1,simulated
simulated,0,super,yes,264.02709268745883,1,simulated
simulated,0,super,yes,267.0859546390137,1,simulated
simulated,0,super,yes,268.1687944656462,1,simulated
simulated,0,super,yes,268.23717992990885,1,simulated
simulated,0,super,yes,267.201552572831,1,simulated
simulated,0,super,yes,265.24111391365017,1,simulated
simulated,0,super,yes,267.5034181830182,1,simulated
simulated,0,super,yes,264.3048196924348,1,simulated
simulated,0,super,yes,265.6100861524297,1,simulated
simulated,0,super,yes,264.06809757671397,1,simulated
simulated,0,super,yes,265.03211486925056,1,simulated
simulated,0,super,yes,267.1131816638796,1,simulated
simulated,0,super,yes,264.70735254177384,1,simulated
simulated,0,super,yes,264.32937114231106,1,simulated
simulated,0,super,yes,265.23308407218155,1,simulated
simulated,0,super,yes,267.19338202794177,1,simulated
simulated,0,super,yes,264.15784448335626,1,simulated
simulated,0,super,yes,265.2910109571456,1,simulated
simulated,0,super,yes,264.6691898031265,1,simulated
simulated,0,super,yes,264.1453867381828,1,simulated
simulated,0,super,yes,265.09906500521424,1,simulated
simulated,0,super,yes,264.1389371091242,1,simulated
simulated,0,super,yes,267.4481076293421,1,simulated
simulated,0,super,yes,264.2950605825831,1,simulated
simulated,0,super,yes,265.2588998592649,1,simulated
simulated,0,super,yes,266.500111253881,1,simulated
simulated,0,super,yes,264.278927676509,1,simulated
simulated,0,super,yes,264.3199750029111,1,simulated
simulated,0,super,yes,266.5846839735745,1,simulated
simulated,0,super,yes,265.76271979184924,1,simulated
simulated,0,super,yes,266.7792897164414,1,simulated
simulated,0,super,yes,267.1999413697447,1,simulated
simulated,0,super,yes,268.2047687489782,1,simulated
simulated,0,super,yes,264.4065294111944,1,simulated
simulated,0,super,yes,266.3775117385094,1,simulated
simulated,0,super,yes,267.37059833156684,1,simulated
simulated,0,super,yes,264.4650186220449,1,simulated
simulated,0,super,yes,268.04585410421083,1,simulated
simulated,0,super,yes,264.01480651374703,1,simulated
simulated,0,super,yes,264.0268476368505,1,simulated
simulated,0,super,yes,267.2716343837461,1,simulated
simulated,0,super,yes,264.0514327407474,1,simulated
simulated,0,super,yes,264.0868599955379,1,simulated
simulated,0,super,yes,265.66938154555766,1,simulated
simulated,0,super,yes,267.0748178190186,1,simulated
simulated,0,super,yes,264.52558503093815,1,simulated
simulated,0,super,yes,266.2927323481428,1,simulated
simulated,0,super,yes,265.94191645328755,1,simulated
simulated,0,super,yes,265.40023145789075,1,simulated
simulated,0,super,yes,264.4399068635684,1,simulated
simulated,0,super,yes,266.05380243516146,1,simulated
simulated,0,super,yes,265.9163688019502,1,simulated
simulated,0,super,yes,264.4157023594517,1,simulated
simulated,0,super,yes,265.81309410191403,1,simulated
simulated,0,super,yes,264.5319834816072,1,simulated
simulated,0,super,yes,264.43017613223515,1,simulated
simulated,0,super,yes,268.09756998743495,1,simulated
simulated,0,super,yes,265.3758075233298,1,simulated
simulated,0,super,yes,265.0758598038077,1,simulated
simulated,0,super,yes,265.0337602735243,1,simulated
simulated,0,super,yes,266.62090112701253,1,simulated
simulated,0,super,yes,266.33240365399996,1,simulated
simulated,0,super,yes,268.2624352656238,1,simulated
simulated,0,super,yes,264.63541791349695,1,simulated
simulated,0,super,yes,266.006359083964,1,simulated
simulated,0,super,yes,264.8595819671639,1,simulated
simulated,0,super,yes,268.0284296109831,1,simulated
simulated,0,super,yes,266.6608061570625,1,simulated
simulated,0,super,yes,267.12802292202434,1,simulated
simulated,0,super,yes,264.667077765041,1,simulated
simulated,0,super,yes,264.4175449218659,1,simulated
simulated,0,super,yes,265.1597441956954,1,simulated
simulated,0,super,yes,263.9898913086863,1,simulated
simulated,0,super,yes,264.6198579346928,1,simulated
simulated,0,super,yes,266.2562869529373,1,simulated
simulated,0,super,yes,268.31439022565706,1,simulated
simulated,0,super,yes,263.77110029224843,1,simulated
simulated,0,super,yes,267.52216966178463,1,simulated
simulated,0,super,yes,266.5203252539087,1,simulated
simulated,0,super,yes,266.83018520240023,1,simulated
simulated,0,super,yes,264.0524588175738,1,simulated
simulated,0,super,yes,267.7052585048279,1,simulated
simulated,0,super,yes,265.5064624240916,1,simulated
simulated,0,super,yes,266.4978503477895,1,simulated
simulated,0,super,yes,265.8569673827688,1,simulated
simulated,0,super,yes,263.7868963872026,1,simulated
simulated,0,super,yes,267.863440446756,1,simulated
simulated,0,super,yes,268.0793616701649,1,simulated
simulated,0,super,yes,263.7753902108737,1,simulated
simulated,0,super,yes,267.123558018494,1,simulated
simulated,0,super,yes,268.0789714785299,1,simulated
simulated,0,super,yes,264.14861563754806,1,simulated
simulated,0,super,yes,267.2292237911861,1,simulated
simulated,0,super,yes,265.38382574338755,1,simulated
simulated,0,super,yes,264.0641679186763,1,simulated
simulated,0,super,yes,263.7774291609065,1,simulated
simulated,1,super,yes,268.67749338593393,1,simulated
simulated,1,super,yes,265.97878431167305,1,simulated
simulated,1,super,yes,266.9922527086132,1,simulated
simulated,1,super,yes,264.753842342064,1,simulated
simulated,1,super,yes,266.9145033840519,1,simulated
simulated,1,super,yes,268.24750529267266,1,simulated
simulated,1,super,yes,265.4585892381202,1,simulated
simulated,1,super,yes,265.39169811667114,1,simulated
simulated,1,super,yes,268.55932411331406,1,simulated
simulated,1,super,yes,264.80806465967277,1,simulated
simulated,1,super,yes,264.72667351166064,1,simulated
simulated,1,super,yes,265.6130615472104,1,simulated
simulated,1,super,yes,266.9975182897315,1,simulated
simulated,1,super,yes,266.4695143765825,1,simulated
simulated,1,super,yes,266.4097774779943,1,simulated
simulated,1,super,yes,264.76138612260775,1,simulated
simulated,1,super,yes,267.47722406154435,1,simulated
simulated,1,super,yes,266.7335855381913,1,simulated
simulated,1,super,yes,264.9859131445728,1,simulated
simulated,1,super,yes,267.1403789856513,1,simulated
simulated,1,super,yes,266.70313355427214,1,simulated
simulated,1,super,yes,264.7267226002788,1,simulated
simulated,1,super,yes,265.8667196346417,1,simulated
simulated,1,super,yes,264.7965279150604,1,simulated
simulated,1,super,yes,264.7297343430752,1,simulated
simulated,1,super,yes,264.13112632974617,1,simulated
