image,category,level,response,RT,seed,model
simulated,0,super,yes,361.32641320357436,1,simulated
simulated,0,super,yes,364.10251553005565,1,simulated
simulated,0,super,yes,354.75203338597237,1,simulated
simulated,0,super,yes,350.45957891764715,1,simulated
simulated,0,super,yes,358.15919202172904,1,simulated
simulated,0,super,yes,350.1148417227603,1,simulated
simulated,0,super,yes,350.0424066521438,1,simulated
simulated,0,super,yes,358.3576597595765,1,simulated
simulated,0,super,yes,349.58653469742023,1,simulated
simulated,0,super,yes,356.0203129937834,1,simulated
simulated,0,super,yes,362.5345215850511,1,simulated
simulated,0,super,yes,365.71237414055423,1,simulated
simulated,0,super,yes,369.4546693480269,1,simulated
simulated,0,super,yes,367.7475495822429,1,simulated
simulated,0,super,yes,349.62462085130977,1,simulated
simulated,0,super,yes,370.80807281557173,1,simulated
simulated,0,super,yes,352.7222919343054,1,simulated
simulated,0,super,yes,371.54052158437173,1,simulated
simulated,0,super,yes,354.79784173301186,1,simulated
simulated,0,super,yes,371.327847010454,1,simulated
simulated,0,super,yes,351.7221209052833,1,simulated
simulated,0,super,yes,352.79247308014953,1,simulated
simulated,0,super,yes,349.33843785767266,1,simulated
simulated,0,super,yes,373.0744735196674,1,simulated
simulated,0,super,yes,351.0704389512264,1,simulated
simulated,0,super,yes,339.64242639663456,1,simulated
simulated,0,super,yes,342.278432205753,1,simulated
simulated,0,super,yes,335.5570016409901,1,simulated
simulated,0,super,yes,335.0104433629106,1,simulated
simulated,0,super,yes,337.11894118517273,1,simulated
simulated,0,super,yes,335.74989634113007,1,simulated
simulated,0,super,yes,349.51020751473214,1,simulated
simulated,0,super,yes,335.9526784165815,1,simulated
simulated,0,super,yes,334.8250702163752,1,simulated
simulated,0,super,yes,345.34227114010264,1,simulated
simulated,0,super,yes,347.33030224180135,1,simulated
simulated,0,super,yes,357.0711585689443,1,simulated
simulated,0,super,yes,342.62019917250745,1,simulated
simulated,0,super,yes,335.1801792790262,1,simulated
simulated,0,super,yes,335.18250497230076,1,simulated
simulated,0,super,yes,355.1711223009988,1,simulated
simulated,0,super,yes,341.21995441856063,1,simulated
simulated,0,super,yes,335.8142944137657,1,simulated
simulated,0,super,yes,348.1310633730719,1,simulated
simulated,0,super,yes,351.30586982784394,1,simulated
simulated,0,super,yes,335.21917724788574,1,simulated
simulated,0,super,yes,352.16081097810394,1,simulated
simulated,0,super,yes,338.091484523884,1,simulated
simulated,0,super,yes,350.2075422218976,1,simulated
simulated,0,super,yes,343.68646399568263,1,simulated
simulated,0,super,yes,346.2690244474737,1,simulated
simulated,0,super,yes,364.6617345720502,1,simulated
simulated,0,super,yes,366.0091341269959,1,simulated
simulated,0,super,yes,366.2101280455783,1,simulated
simulated,0,super,yes,349.82940381063315,1,simulated
simulated,0,super,yes,360.74094088190685,1,simulated
simulated,0,super,yes,353.87963411773893,1,simulated
simulated,0,super,yes,345.2536295246605,1,simulated
simulated,0,super,yes,349.5783691602295,1,simulated
simulated,0,super,yes,364.3814549294093,1,simulated
simulated,0,super,yes,360.0494769019959,1,simulated
simulated,0,super,yes,354.70263430503593,1,simulated
simulated,0,super,yes,355.0182302388903,1,simulated
simulated,0,super,yes,351.8203891054591,1,simulated
simulated,0,super,yes,350.74647633762464,1,simulated
simulated,0,super,yes,352.9735711375506,1,simulated
simulated,0,super,yes,350.0381489648965,1,simulated
simulated,0,super,yes,347.665839699942,1,simulated
simulated,0,super,yes,345.3981242226108,1,simulated
simulated,0,super,yes,359.98562436675644,1,simulated
simulated,0,super,yes,349.9381648365964,1,simulated
simulated,0,super,yes,345.3322427175216,1,simulated
simulated,0,super,yes,345.9247876874889,1,simulated
simulated,0,super,yes,362.1023463206034,1,simulated
simulated,0,super,yes,356.4819221832127,1,simulated
simulated,0,super,yes,358.3784876254898,1,simulated
simulated,0,super,yes,376.64282107446274,1,simulated
simulated,0,super,yes,360.1486313946474,1,simulated
simulated,0,super,yes,357.49116828601615,1,simulated
simulated,0,super,yes,358.11738138181437,1,simulated
simulated,0,super,yes,362.782699007751,1,simulated
simulated,0,super,yes,358.9950351362212,1,simulated
simulated,0,super,yes,357.3829136873265,1,simulated
simulated,0,super,yes,381.0809135907365,1,simulated
simulated,0,super,yes,356.8545431796602,1,simulated
simulated,0,super,yes,359.6444753159949,1,simulated
simulated,0,super,yes,362.23447431736315,1,simulated
simulated,0,super,yes,356.2234430671593,1,simulated
simulated,0,super,yes,367.1268574474035,1,simulated
simulated,0,super,yes,378.8993814412871,1,simulated
simulated,0,super,yes,379.0253650767176,1,simulated
simulated,0,super,yes,377.32551332117765,1,simulated
simulated,0,super,yes,377.9903780703067,1,simulated
simulated,0,super,yes,364.3527559234061,1,simulated
simulated,0,super,yes,364.528073053746,1,simulated
simulated,0,super,yes,365.4034646311038,1,simulated
simulated,0,super,yes,356.3582596984852,1,simulated
simulated,0,super,yes,367.192167861085,1,simulated
simulated,0,super,yes,370.7271881887434,1,simulated
simulated,0,super,yes,357.96971161128437,1,simulated
simulated,1,super,yes,369.3548343878323,1,simulated
simulated,1,super,yes,372.80659610143454,1,simulated
simulated,1,super,yes,364.02569853943135,1,simulated
simulated,1,super,yes,363.7954469604465,1,simulated
simulated,1,super,yes,369.82248903785717,1,simulated
simulated,1,super,yes,357.6745988037211,1,simulated
simulated,1,super,yes,368.1329349832962,1,simulated
simulated,1,super,yes,365.6021647750565,1,simulated
simulated,1,super,yes,374.63134704154703,1,simulated
simulated,1,super,yes,355.876156280887,1,simulated
simulated,1,super,yes,370.22460943254697,1,simulated
simulated,1,super,yes,367.2022325059017,1,simulated
simulated,1,super,yes,365.95406825836625,1,simulated
simulated,1,super,yes,360.6152260748239,1,simulated
simulated,1,super,yes,360.94242956432566,1,simulated
simulated,1,super,yes,365.9102779067902,1,simulated
simulated,1,super,yes,358.1923010139716,1,simulated
simulated,1,super,yes,372.53434169971996,1,simulated
simulated,1,super,yes,367.5210690824493,1,simulated
simulated,1,super,yes,355.4576276016097,1,simulated
simulated,1,super,yes,373.7658163799491,1,simulated
simulated,1,super,yes,367.05984975146293,1,simulated
simulated,1,super,yes,363.2825220544194,1,simulated
simulated,1,super,yes,361.2420571137775,1,simulated
simulated,1,super,yes,376.1627243705011,1,simulated
simulated,1,super,yes,365.0698608555756,1,simulated
simulated,1,super,yes,359.68798276635124,1,simulated
