image,category,level,response,RT,seed,model
simulated,0,super,yes,229.8052885981359,1,simulated
simulated,0,super,yes,224.60318258827547,1,simulated
simulated,0,super,yes,219.6898759417203,1,simulated
simulated,0,super,yes,220.15991894425287,1,simulated
simulated,0,super,yes,219.36823594164832,1,simulated
simulated,0,super,yes,220.923612243567,1,simulated
simulated,0,super,yes,227.6983478381656,1,simulated
simulated,0,super,yes,228.4804653759449,1,simulated
simulated,0,super,yes,224.72488699652305,1,simulated
simulated,0,super,yes,219.76920014595441,1,simulated
simulated,0,super,yes,220.02060094616343,1,simulated
simulated,0,super,yes,229.05338650170472,1,simulated
simulated,0,super,yes,220.5908922244028,1,simulated
simulated,0,super,yes,219.19497172119844,1,simulated
simulated,0,super,yes,219.70095943609854,1,simulated
simulated,0,super,yes,219.19453290785253,1,simulated
simulated,0,super,yes,224.52835836556923,1,simulated
simulated,0,super,yes,220.23359404625415,1,simulated
simulated,0,super,yes,220.72517440730297,1,simulated
simulated,0,super,yes,225.56752813514728,1,simulated
simulated,0,super,yes,219.58622822440591,1,simulated
simulated,0,super,yes,226.8674660168024,1,simulated
simulated,0,super,yes,224.4464763802431,1,simulated
simulated,0,super,yes,227.6930561114798,1,simulated
simulated,0,super,yes,225.99126906942794,1,simulated
simulated,0,super,yes,220.40851532256107,1,simulated
simulated,0,super,yes,230.17914524158036,1,simulated
simulated,0,super,yes,225.05560838598882,1,simulated
simulated,0,super,yes,221.7061329204091,1,simulated
simulated,0,super,yes,220.7777676658729,1,simulated
simulated,0,super,yes,221.55074779159744,1,simulated
simulated,0,super,yes,225.3131649992338,1,simulated
simulated,0,super,yes,220.863828183867,1,simulated
simulated,0,super,yes,220.41882824402586,1,simulated
simulated,0,super,yes,230.96064423559463,1,simulated
simulated,0,super,yes,230.42209507109092,1,simulated
simulated,0,super,yes,226.09521420328537,1,simulated
simulated,0,super,yes,220.53121276025863,1,simulated
simulated,0,super,yes,221.21114421914353,1,simulated
simulated,0,super,yes,223.58688525145033,1,simulated
simulated,0,super,yes,229.98878435564413,1,simulated
simulated,0,super,yes,224.7957714146428,1,simulated
simulated,0,super,yes,226.97301298139917,1,simulated
simulated,0,super,yes,223.0816783804693,1,simulated
simulated,0,super,yes,221.7812897369935,1,simulated
simulated,0,super,yes,222.44663314591898,1,simulated
simulated,0,super,yes,227.01843825332082,1,simulated
simulated,0,super,yes,222.82712713130834,1,simulated
simulated,0,super,yes,220.48084467317568,1,simulated
simulated,0,super,yes,226.593765627447,1,simulated
simulated,0,super,yes,214.91560071014703,1,simulated
simulated,0,super,yes,213.16525478660768,1,simulated
simulated,0,super,yes,223.9388106975797,1,simulated
simulated,0,super,yes,213.00360356120513,1,simulated
simulated,0,super,yes,224.88433109193014,1,simulated
simulated,0,super,yes,214.5381519099215,1,simulated
simulated,0,super,yes,226.33585708544211,1,simulated
simulated,0,super,yes,219.61064536793216,1,simulated
simulated,0,super,yes,213.73521753956288,1,simulated
simulated,0,super,yes,215.01768434873603,1,simulated
simulated,0,super,yes,219.0914555943023,1,simulated
simulated,0,super,yes,213.57146686240313,1,simulated
simulated,0,super,yes,224.30774264748186,1,simulated
simulated,0,super,yes,212.94132822217082,1,simulated
simulated,0,super,yes,224.32703926571097,1,simulated
simulated,0,super,yes,218.76455858888224,1,simulated
simulated,0,super,yes,221.16088178139006,1,simulated
simulated,0,super,yes,218.17433167191643,1,simulated
simulated,0,super,yes,214.17918501751726,1,simulated
simulated,0,super,yes,214.20294279533613,1,simulated
simulated,0,super,yes,213.07331927216435,1,simulated
simulated,0,super,yes,213.15339011911888,1,simulated
simulated,0,super,yes,219.11475319879946,1,simulated
simulated,0,super,yes,213.059323674765,1,simulated
simulated,0,super,yes,214.6102808501453,1,simulated
simulated,0,super,yes,219.30444234789184,1,simulated
simulated,0,super,yes,216.4553660205442,1,simulated
simulated,0,super,yes,217.52764294211477,1,simulated
simulated,0,super,yes,219.9291619506359,1,simulated
simulated,0,super,yes,215.50282675896116,1,simulated
simulated,0,super,yes,220.90267469547436,1,simulated
simulated,0,super,yes,215.0937882440242,1,simulated
simulated,0,super,yes,214.48699232707872,1,simulated
simulated,0,super,yes,218.22340479323123,1,simulated
simulated,0,super,yes,215.81819549881374,1,simulated
simulated,0,super,yes,217.27677079290504,1,simulated
simulated,0,super,yes,223.1330252797721,1,simulated
simulated,0,super,yes,225.21973199156267,1,simulated
simulated,0,super,yes,218.2723412350122,1,simulated
simulated,0,super,yes,221.50363268921015,1,simulated
simulated,0,super,yes,214.89007248408413,1,simulated
simulated,0,super,yes,217.2350550349223,1,simulated
simulated,0,super,yes,219.8667990843693,1,simulated
simulated,0,super,yes,219.76435151633515,1,simulated
simulated,0,super,yes,222.67089560957632,1,simulated
simulated,0,super,yes,214.85907456199573,1,simulated
simulated,0,super,yes,214.7210981301335,1,simulated
simulated,0,super,yes,217.76868947178997,1,simulated
simulated,0,super,yes,222.75764307659742,1,simulated
simulated,0,super,yes,216.911896950411,1,simulated
simulated,1,super,yes,215.94883169369194,1,simulated
simulated,1,super,yes,218.0854756254059,1,simulated
simulated,1,super,yes,217.6726867192376,1,simulated
simulated,1,super,yes,217.78622520427027,1,simulated
simulated,1,super,yes,217.72151441297237,1,simulated
simulated,1,super,yes,219.27627415756064,1,simulated
simulated,1,super,yes,223.6619405937152,1,simulated
simulated,1,super,yes,225.3477957668808,1,simulated
simulated,1,super,yes,225.9996481513113,1,simulated
simulated,1,super,yes,221.47141330257406,1,simulated
simulated,1,super,yes,223.74220212587795,1,simulated
simulated,1,super,yes,223.62383524934907,1,simulated
simulated,1,super,yes,222.77699936082706,1,simulated
simulated,1,super,yes,219.54550290586124,1,simulated
simulated,1,super,yes,216.6722608599476,1,simulated
simulated,1,super,yes,215.5903844186115,1,simulated
simulated,1,super,yes,217.3103839528601,1,simulated
simulated,1,super,yes,225.0804252574234,1,simulated
simulated,1,super,yes,222.73957758134742,1,simulated
simulated,1,super,yes,224.2599269405798,1,simulated
simulated,1,super,yes,216.90648653191948,1,simulated
simulated,1,super,yes,216.91535690159174,1,simulated
simulated,1,super,yes,220.24533688633554,1,simulated
simulated,1,super,yes,216.80748964442043,1,simulated
simulated,1,super,yes,225.72232306712374,1,simulated
simulated,1,super,yes,217.51424766636868,1,simulated
simulated,1,super,yes,216.3087052661621,1,simulated
simulated,1,super,yes,225.27361572708097,1,simulated
simulated,1,super,yes,218.4800361149655,1,simulated
simulated,1,super,yes,215.50134105437718,1,simulated
simulated,1,super,yes,226.1412231994815,1,simulated
simulated,1,super,yes,219.7278140280723,1,simulated
simulated,1,super,yes,216.98708367309843,1,simulated
simulated,1,super,yes,216.78468554435426,1,simulated
