image,category,level,response,RT,seed,model
simulated,0,super,yes,672.5103067618134,1,simulated
simulated,0,super,yes,620.9848354218468,1,simulated
simulated,0,super,yes,651.2762521200177,1,simulated
simulated,0,super,yes,402.04248570134797,1,simulated
simulated,0,super,yes,554.8922632275874,1,simulated
simulated,0,super,yes,496.91402481302066,1,simulated
simulated,0,super,yes,542.7552279657443,1,simulated
simulated,0,super,yes,408.02676108973077,1,simulated
simulated,0,super,yes,529.0128455565431,1,simulated
simulated,0,super,yes,410.8202216377213,1,simulated
simulated,0,super,yes,515.9963677008994,1,simulated
simulated,0,super,yes,527.6642874786811,1,simulated
simulated,0,super,yes,433.26451567901364,1,simulated
simulated,0,super,yes,529.3792505697878,1,simulated
simulated,0,super,yes,430.1496020812573,1,simulated
simulated,0,super,yes,488.15478772949433,1,simulated
simulated,0,super,yes,548.0925476249487,1,simulated
simulated,0,super,yes,520.7218665921627,1,simulated
simulated,0,super,yes,446.2182092186198,1,simulated
simulated,0,super,yes,466.4002434723017,1,simulated
simulated,0,super,yes,406.9364688109547,1,simulated
simulated,0,super,yes,576.4933967536508,1,simulated
simulated,0,super,yes,562.5119454097864,1,simulated
simulated,0,super,yes,464.8970385908943,1,simulated
simulated,0,super,yes,415.463508970008,1,simulated
simulated,0,super,yes,529.443633053989,1,simulated
simulated,0,super,yes,581.5143766473991,1,simulated
simulated,0,super,yes,478.9712526693561,1,simulated
simulated,0,super,yes,447.95124253043537,1,simulated
simulated,0,super,yes,454.5350717996162,1,simulated
simulated,0,super,yes,621.9232528751298,1,simulated
simulated,0,super,yes,625.0417877113607,1,simulated
simulated,0,super,yes,688.7575414375509,1,simulated
simulated,0,super,yes,525.0005816805729,1,simulated
simulated,0,super,yes,446.3863660379739,1,simulated
simulated,0,super,yes,510.79860563287764,1,simulated
simulated,0,super,yes,645.9739915318661,1,simulated
simulated,0,super,yes,650.499393947392,1,simulated
simulated,0,super,yes,633.1491244928485,1,simulated
simulated,0,super,yes,654.3382842108172,1,simulated
simulated,0,super,yes,449.467874977186,1,simulated
simulated,0,super,yes,470.61976516891673,1,simulated
simulated,0,super,yes,662.30513012886,1,simulated
simulated,0,super,yes,548.5203866906423,1,simulated
simulated,0,super,yes,602.0883194948325,1,simulated
simulated,0,super,yes,465.97134151163965,1,simulated
simulated,0,super,yes,605.2432592261702,1,simulated
simulated,0,super,yes,430.5411687273042,1,simulated
simulated,0,super,yes,506.5463690232921,1,simulated
simulated,0,super,yes,487.37351367548376,1,simulated
simulated,0,super,yes,634.0147740319139,1,simulated
simulated,0,super,yes,456.8128477115957,1,simulated
simulated,0,super,yes,453.9844972034281,1,simulated
simulated,0,super,yes,477.7182643959452,1,simulated
simulated,0,super,yes,430.16159692392193,1,simulated
simulated,0,super,yes,412.0501973047015,1,simulated
simulated,0,super,yes,407.97488988650804,1,simulated
simulated,0,super,yes,649.185192611578,1,simulated
simulated,0,super,yes,539.862725014967,1,simulated
simulated,0,super,yes,409.9119124287577,1,simulated
simulated,0,super,yes,441.2397379126939,1,simulated
simulated,0,super,yes,572.8084307045152,1,simulated
simulated,0,super,yes,639.678044034216,1,simulated
simulated,0,super,yes,406.7150525944907,1,simulated
simulated,0,super,yes,625.1249233774853,1,simulated
simulated,0,super,yes,395.38013329292073,1,simulated
simulated,0,super,yes,460.7245368202891,1,simulated
simulated,0,super,yes,396.5734748259517,1,simulated
simulated,0,super,yes,440.3059103635106,1,simulated
simulated,0,super,yes,473.6017776549434,1,simulated
simulated,0,super,yes,450.6454086026575,1,simulated
simulated,0,super,yes,405.9345621953058,1,simulated
simulated,0,super,yes,448.59998429121026,1,simulated
simulated,0,super,yes,403.1656061767201,1,simulated
simulated,0,super,yes,409.9514646760251,1,simulated
simulated,0,super,yes,559.0551430835868,1,simulated
simulated,0,super,yes,529.8755575814716,1,simulated
simulated,0,super,yes,596.3641757740368,1,simulated
simulated,0,super,yes,600.9755899175836,1,simulated
simulated,0,super,yes,590.7860930016701,1,simulated
simulated,0,super,yes,613.1961651276375,1,simulated
simulated,0,super,yes,612.766802718526,1,simulated
simulated,0,super,yes,638.3722981407287,1,simulated
simulated,0,super,yes,383.28214411130716,1,simulated
simulated,0,super,yes,560.8016128089253,1,simulated
simulated,0,super,yes,379.59976497317274,1,simulated
simulated,0,super,yes,371.24441138362647,1,simulated
simulated,0,super,yes,525.8810926070634,1,simulated
simulated,0,super,yes,363.1913070428015,1,simulated
simulated,0,super,yes,625.0989777389801,1,simulated
simulated,0,super,yes,399.9280071294116,1,simulated
simulated,0,super,yes,670.0110640832023,1,simulated
simulated,0,super,yes,379.1123176141725,1,simulated
simulated,0,super,yes,501.8829255126686,1,simulated
simulated,0,super,yes,666.2582714243388,1,simulated
simulated,0,super,yes,662.2257934776603,1,simulated
simulated,0,super,yes,440.78018722548626,1,simulated
simulated,0,super,yes,548.3733509532127,1,simulated
simulated,0,super,yes,647.6564093514523,1,simulated
simulated,0,super,yes,377.0536862492379,1,simulated
simulated,1,super,yes,549.4274086961898,1,simulated
simulated,1,super,yes,532.3937797886236,1,simulated
simulated,1,super,yes,618.1569821449004,1,simulated
simulated,1,super,yes,416.2814757078999,1,simulated
simulated,1,super,yes,652.1774352536517,1,simulated
simulated,1,super,yes,475.45105966821046,1,simulated
simulated,1,super,yes,443.58369479408105,1,simulated
simulated,1,super,yes,599.384958413995,1,simulated
simulated,1,super,yes,591.3260474606108,1,simulated
simulated,1,super,yes,502.7621925242926,1,simulated
simulated,1,super,yes,610.1908450272706,1,simulated
simulated,1,super,yes,481.35501131320297,1,simulated
simulated,1,super,yes,673.5470514608242,1,simulated
simulated,1,super,yes,473.13383366419737,1,simulated
simulated,1,super,yes,390.5552097343028,1,simulated
simulated,1,super,yes,509.56183818574954,1,simulated
simulated,1,super,yes,610.4898830539864,1,simulated
simulated,1,super,yes,440.8274194560077,1,simulated
simulated,1,super,yes,683.3296725773101,1,simulated
simulated,1,super,yes,390.94666888050557,1,simulated
simulated,1,super,yes,433.44782985393584,1,simulated
simulated,1,super,yes,398.2750591925913,1,simulated
simulated,1,super,yes,508.8750910671897,1,simulated
simulated,1,super,yes,396.78257373758623,1,simulated
simulated,1,super,yes,553.9103048897631,1,simulated
simulated,1,super,yes,415.2558332724635,1,simulated
simulated,1,super,yes,463.6551415501546,1,simulated
simulated,1,super,yes,641.3402361973519,1,simulated
simulated,1,super,yes,473.01888881972707,1,simulated
simulated,1,super,yes,594.6064306110601,1,simulated
simulated,1,super,yes,435.62626724193035,1,simulated
simulated,1,super,yes,458.45806372402774,1,simulated
simulated,1,super,yes,493.7374021751156,1,simulated
simulated,1,super,yes,591.2792771144159,1,simulated
simulated,1,super,yes,395.63002338983677,1,simulated
simulated,1,super,yes,527.6902198804704,1,simulated
simulated,1,super,yes,559.4611718378575,1,simulated
simulated,1,super,yes,475.15881605296113,1,simulated
simulated,1,super,yes,619.3540032089188,1,simulated
simulated,1,super,yes,573.8716726639703,1,simulated
simulated,1,super,yes,398.83151895919536,1,simulated
simulated,1,super,yes,435.07414089681566,1,simulated
simulated,1,super,yes,401.414623031657,1,simulated
simulated,1,super,yes,577.43954573637,1,simulated
simulated,1,super,yes,396.50952245224244,1,simulated
simulated,1,super,yes,395.6400244298745,1,simulated
simulated,1,super,yes,424.43296085693095,1,simulated
simulated,1,super,yes,459.9045372607649,1,simulated
simulated,1,super,yes,608.338745463156,1,simulated
simulated,1,super,yes,544.0002704159822,1,simulated
simulated,1,super,yes,560.210115933249,1,simulated
simulated,1,super,yes,556.3036832369517,1,simulated
simulated,1,super,yes,476.2041261713302,1,simulated
