image,category,level,response,RT,seed,model
simulated,0,super,yes,197.4851573958173,1,simulated
simulated,0,super,yes,199.0352284440503,1,simulated
simulated,0,super,yes,197.65261315290076,1,simulated
simulated,0,super,yes,197.56438356618835,1,simulated
simulated,0,super,yes,198.32161622572733,1,simulated
simulated,0,super,no,197.8686972041629,1,simulated
simulated,0,super,yes,197.00238566194497,1,simulated
simulated,0,super,yes,198.37185884654525,1,simulated
simulated,0,super,yes,198.9732121975781,1,simulated
simulated,0,super,yes,198.70346559255904,1,simulated
simulated,0,super,yes,197.5147382134963,1,simulated
simulated,0,super,yes,198.3526656051659,1,simulated
simulated,0,super,yes,198.09715836587426,1,simulated
simulated,0,super,yes,198.95255803129012,1,simulated
simulated,0,super,yes,198.1913575498878,1,simulated
simulated,0,super,yes,199.27465017939878,1,simulated
simulated,0,super,yes,198.18883548212403,1,simulated
simulated,0,super,yes,197.85615806791338,1,simulated
simulated,0,super,yes,197.44391610629899,1,simulated
simulated,0,super,yes,198.18411409751107,1,simulated
simulated,0,super,yes,198.97651442654825,1,simulated
simulated,0,super,yes,198.94308797468344,1,simulated
simulated,0,super,yes,198.59922059872432,1,simulated
simulated,0,super,yes,198.79761600077327,1,simulated
simulated,0,super,yes,198.97230411921805,1,simulated
simulated,0,super,yes,198.27479815545925,1,simulated
simulated,0,super,yes,198.02723708752825,1,simulated
simulated,0,super,yes,197.91728888107562,1,simulated
simulated,0,super,yes,199.0169900418818,1,simulated
simulated,0,super,yes,198.61133254581028,1,simulated
simulated,0,super,yes,198.81557630619284,1,simulated
simulated,0,super,yes,197.82045574484894,1,simulated
simulated,0,super,yes,198.6366221743686,1,simulated
simulated,0,super,yes,197.41949538334873,1,simulated
simulated,0,super,yes,199.5146048483231,1,simulated
simulated,0,super,no,198.93264508105,1,simulated
simulated,0,super,yes,198.0062886798357,1,simulated
simulated,0,super,yes,198.64179599782156,1,simulated
simulated,0,super,yes,198.40096976268225,1,simulated
simulated,0,super,yes,198.1826313954048,1,simulated
simulated,0,super,yes,198.647122365923,1,simulated
simulated,0,super,yes,198.4684241415805,1,simulated
simulated,0,super,yes,197.89747909577588,1,simulated
simulated,0,super,yes,198.6518739009266,1,simulated
simulated,0,super,yes,198.23609472139321,1,simulated
simulated,0,super,yes,198.50815133877524,1,simulated
simulated,0,super,yes,198.220957890226,1,simulated
simulated,0,super,yes,197.57507991829297,1,simulated
simulated,0,super,yes,198.71466383981627,1,simulated
simulated,0,super,yes,198.47813641780886,1,simulated
simulated,0,super,yes,186.58911184049904,1,simulated
simulated,0,super,yes,186.58197986413822,1,simulated
simulated,0,super,yes,186.27629085360434,1,simulated
simulated,0,super,yes,186.02427220524012,1,simulated
simulated,0,super,yes,186.68951278881607,1,simulated
simulated,0,super,yes,186.4488958400705,1,simulated
simulated,0,super,yes,186.36474220517863,1,simulated
simulated,0,super,yes,187.53861360384758,1,simulated
simulated,0,super,yes,186.1955724618073,1,simulated
simulated,0,super,yes,186.1366804632044,1,simulated
simulated,0,super,yes,186.56565191774484,1,simulated
simulated,0,super,yes,187.9815158625154,1,simulated
simulated,0,super,yes,186.72561346824597,1,simulated
simulated,0,super,yes,186.37107704675918,1,simulated
simulated,0,super,yes,186.85203986167832,1,simulated
simulated,0,super,yes,186.17103095517547,1,simulated
simulated,0,super,yes,187.3664966788523,1,simulated
simulated,0,super,yes,186.65948213242925,1,simulated
simulated,0,super,yes,187.37061213993277,1,simulated
simulated,0,super,yes,186.64637396968445,1,simulated
simulated,0,super,yes,187.20681505042606,1,simulated
simulated,0,super,yes,186.59138061849086,1,simulated
simulated,0,super,yes,187.022882069905,1,simulated
simulated,0,super,yes,186.3537101299473,1,simulated
simulated,0,super,yes,186.3366561031349,1,simulated
simulated,0,super,yes,186.30090568586044,1,simulated
simulated,0,super,yes,186.527849921478,1,simulated
simulated,0,super,yes,186.6999203358267,1,simulated
simulated,0,super,yes,187.607013456224,1,simulated
simulated,0,super,yes,186.73586795793992,1,simulated
simulated,0,super,yes,187.10770694761953,1,simulated
simulated,0,super,yes,186.3624566570966,1,simulated
simulated,0,super,yes,186.51687601581187,1,simulated
simulated,0,super,yes,186.4954676079443,1,simulated
simulated,0,super,yes,186.56851333268858,1,simulated
simulated,0,super,yes,186.28240248408878,1,simulated
simulated,0,super,yes,186.09145366979402,1,simulated
simulated,0,super,yes,186.98368042547722,1,simulated
simulated,0,super,yes,187.0042967778211,1,simulated
simulated,0,super,yes,187.94614692316995,1,simulated
simulated,0,super,yes,186.7017612573014,1,simulated
simulated,0,super,yes,185.85092061496758,1,simulated
simulated,0,super,yes,187.00502024840085,1,simulated
simulated,0,super,yes,186.2201608531857,1,simulated
simulated,0,super,yes,186.5770607094354,1,simulated
simulated,0,super,yes,185.81530032470548,1,simulated
simulated,0,super,yes,186.87362452618183,1,simulated
simulated,0,super,yes,186.11297927697652,1,simulated
simulated,0,super,yes,186.29277703858912,1,simulated
simulated,0,super,yes,186.13830434491487,1,simulated
simulated,0,super,yes,188.97408795632418,1,simulated
simulated,0,super,yes,188.31495111820124,1,simulated
simulated,0,super,yes,188.96254814769554,1,simulated
simulated,0,super,yes,189.6740572370622,1,simulated
simulated,0,super,yes,188.5106209513082,1,simulated
simulated,0,super,yes,189.17722277982338,1,simulated
simulated,0,super,yes,188.70351807428924,1,simulated
simulated,0,super,yes,188.95250298298512,1,simulated
simulated,0,super,yes,189.56922076275845,1,simulated
simulated,0,super,yes,189.37724903001552,1,simulated
simulated,0,super,yes,189.80721073908808,1,simulated
simulated,0,super,yes,190.0263580068666,1,simulated
simulated,0,super,yes,188.82809020536328,1,simulated
simulated,0,super,yes,188.83834106095782,1,simulated
simulated,0,super,yes,188.8333859020421,1,simulated
simulated,0,super,yes,188.6527612123847,1,simulated
simulated,0,super,yes,189.4953005465478,1,simulated
simulated,0,super,yes,189.18871548460345,1,simulated
simulated,0,super,yes,189.79291843379372,1,simulated
simulated,0,super,yes,188.436396901641,1,simulated
simulated,0,super,yes,188.85291191027125,1,simulated
simulated,0,super,yes,189.30725504422963,1,simulated
simulated,0,super,yes,188.98035348790629,1,simulated
simulated,0,super,yes,188.37909841081117,1,simulated
simulated,0,super,yes,189.05314233536274,1,simulated
simulated,0,super,yes,187.62830635519504,1,simulated
simulated,0,super,yes,187.75042330415042,1,simulated
simulated,0,super,yes,189.8717329580691,1,simulated
simulated,0,super,yes,189.20529128087838,1,simulated
