model,image,category,level,response,RT,seed
simulated,simulated,0,super,yes,87.72658402144226,1
simulated,simulated,0,super,yes,87.58359608004262,1
simulated,simulated,0,super,yes,87.57006070465972,1
simulated,simulated,0,super,yes,87.70690415297187,1
simulated,simulated,0,super,yes,87.64372862761358,1
simulated,simulated,0,super,yes,87.52321088841303,1
simulated,simulated,0,super,yes,87.47343446482176,1
simulated,simulated,0,super,yes,87.69179931092114,1
simulated,simulated,0,super,yes,87.66847577690349,1
simulated,simulated,0,super,yes,87.56235303538094,1
simulated,simulated,0,super,yes,87.70887455227665,1
simulated,simulated,0,super,yes,87.63143471460027,1
simulated,simulated,0,super,yes,87.5756497214954,1
simulated,simulated,0,super,yes,87.54092437439743,1
simulated,simulated,0,super,yes,87.61396531581,1
simulated,simulated,0,super,yes,87.6121903721254,1
simulated,simulated,0,super,yes,87.58873616767343,1
simulated,simulated,0,super,yes,87.54984739599045,1
simulated,simulated,0,super,yes,87.70689493066902,1
simulated,simulated,0,super,yes,87.60190026768919,1
simulated,simulated,0,super,yes,87.5547854458437,1
simulated,simulated,0,super,yes,87.62499291097942,1
simulated,simulated,0,super,yes,87.73246049448215,1
simulated,simulated,0,super,yes,87.58588808198945,1
simulated,simulated,0,super,yes,87.65468504918353,1
simulated,simulated,0,super,yes,87.64894137670088,1
simulated,simulated,0,super,yes,87.60268935874221,1
simulated,simulated,0,super,yes,87.60973197215199,1
simulated,simulated,0,super,yes,87.6440797578443,1
simulated,simulated,0,super,yes,87.48888884034392,1
simulated,simulated,0,super,yes,87.5294115029316,1
simulated,simulated,0,super,yes,87.67990973221983,1
simulated,simulated,0,super,yes,87.70715572616186,1
simulated,simulated,0,super,yes,87.68367173726504,1
simulated,simulated,0,super,yes,87.6113230335676,1
simulated,simulated,0,super,yes,87.58609017644758,1
simulated,simulated,0,super,yes,87.52821726980473,1
simulated,simulated,0,super,yes,87.64575401293351,1
simulated,simulated,0,super,yes,87.59519588632301,1
simulated,simulated,0,super,yes,87.55295486571924,1
simulated,simulated,0,super,yes,87.54175853960078,1
simulated,simulated,0,super,yes,87.60755037875296,1
simulated,simulated,0,super,yes,87.61033216166898,1
simulated,simulated,0,super,yes,87.59183022779169,1
simulated,simulated,0,super,yes,87.64926887656596,1
simulated,simulated,0,super,yes,87.60772838308058,1
simulated,simulated,0,super,yes,87.60377640739678,1
simulated,simulated,0,super,yes,87.59147772168737,1
simulated,simulated,0,super,yes,87.71126146614253,1
simulated,simulated,0,super,yes,87.68881739746129,1
