image,category,level,response,RT,seed,model
simulated,0,super,yes,140.98423445407633,1,simulated
simulated,0,super,yes,140.277107669948,1,simulated
simulated,0,super,yes,140.40322803279682,1,simulated
simulated,0,super,yes,140.55481162601703,1,simulated
simulated,0,super,yes,140.73198062972537,1,simulated
simulated,0,super,yes,140.56114538074624,1,simulated
simulated,0,super,yes,140.7425968783632,1,simulated
simulated,0,super,yes,139.91708981754948,1,simulated
simulated,0,super,yes,139.30432810749915,1,simulated
simulated,0,super,yes,140.68429422316856,1,simulated
simulated,0,super,yes,140.1796423438576,1,simulated
simulated,0,super,yes,140.29933240963646,1,simulated
simulated,0,super,yes,140.16559762272274,1,simulated
simulated,0,super,yes,140.79971036422754,1,simulated
simulated,0,super,yes,140.75540814125802,1,simulated
simulated,0,super,yes,140.73862934061606,1,simulated
simulated,0,super,yes,139.94624754403458,1,simulated
simulated,0,super,yes,139.9539026275163,1,simulated
simulated,0,super,yes,139.32842892390937,1,simulated
simulated,0,super,yes,140.0902402352247,1,simulated
simulated,0,super,yes,140.55224219111807,1,simulated
simulated,0,super,yes,140.98037246739472,1,simulated
simulated,0,super,yes,139.62490882338466,1,simulated
simulated,0,super,yes,140.81926529576708,1,simulated
simulated,0,super,yes,140.58560634581747,1,simulated
simulated,0,super,yes,140.47164819938357,1,simulated
simulated,0,super,yes,141.4522974503409,1,simulated
simulated,0,super,yes,140.04000364748956,1,simulated
simulated,0,super,yes,140.60300014786867,1,simulated
simulated,0,super,yes,141.35977235752722,1,simulated
simulated,0,super,yes,141.16228591742345,1,simulated
simulated,0,super,yes,139.94874036540162,1,simulated
simulated,0,super,yes,140.15044755855817,1,simulated
simulated,0,super,yes,139.99495909276865,1,simulated
simulated,0,super,yes,140.57050297904857,1,simulated
simulated,0,super,yes,140.6300926759991,1,simulated
simulated,0,super,yes,139.87940922864001,1,simulated
simulated,0,super,yes,140.88105140693472,1,simulated
simulated,0,super,yes,139.967461916058,1,simulated
simulated,0,super,yes,141.03499368983478,1,simulated
simulated,0,super,yes,139.78223825672362,1,simulated
simulated,0,super,yes,140.86834684516975,1,simulated
simulated,0,super,yes,140.5395290124439,1,simulated
simulated,0,super,yes,141.28445643311687,1,simulated
simulated,0,super,yes,140.61019214965594,1,simulated
simulated,0,super,yes,139.8966585253665,1,simulated
simulated,0,super,yes,141.13474170511552,1,simulated
simulated,0,super,yes,141.02557779746613,1,simulated
simulated,0,super,yes,139.92477915836312,1,simulated
simulated,0,super,yes,139.07099685110242,1,simulated
simulated,0,super,yes,141.1180827275959,1,simulated
simulated,0,super,yes,141.56568851610234,1,simulated
simulated,0,super,yes,140.79962082764428,1,simulated
simulated,0,super,yes,142.43083771507003,1,simulated
simulated,0,super,yes,141.02736507057938,1,simulated
simulated,0,super,yes,141.50755887306107,1,simulated
simulated,0,super,yes,142.44521920438513,1,simulated
simulated,0,super,yes,142.03549995003215,1,simulated
simulated,0,super,yes,141.28232287227706,1,simulated
simulated,0,super,yes,141.1184649739682,1,simulated
simulated,0,super,yes,141.4109716676427,1,simulated
simulated,0,super,yes,142.0103579851183,1,simulated
simulated,0,super,yes,142.06548609435617,1,simulated
simulated,0,super,yes,141.57565314848134,1,simulated
simulated,0,super,yes,140.32168102952483,1,simulated
simulated,0,super,yes,141.2493454439711,1,simulated
simulated,0,super,yes,142.17225963372553,1,simulated
simulated,0,super,yes,142.96635418196365,1,simulated
simulated,0,super,yes,142.95907957756074,1,simulated
simulated,0,super,yes,142.87125939243714,1,simulated
simulated,0,super,yes,141.0334870617815,1,simulated
simulated,0,super,yes,142.65312020296577,1,simulated
simulated,0,super,yes,142.07931534860975,1,simulated
simulated,0,super,yes,141.887819371318,1,simulated
simulated,0,super,yes,142.61115024751732,1,simulated
simulated,0,super,yes,140.5962356844797,1,simulated
simulated,0,super,yes,141.8025683429709,1,simulated
simulated,0,super,yes,142.72330913928235,1,simulated
simulated,0,super,yes,140.59592281838005,1,simulated
simulated,0,super,yes,141.97671380869053,1,simulated
simulated,0,super,yes,142.32496410662176,1,simulated
simulated,0,super,yes,142.03632531483356,1,simulated
simulated,0,super,yes,143.11590125559135,1,simulated
simulated,0,super,yes,141.73281887110568,1,simulated
simulated,0,super,yes,142.68966618047716,1,simulated
simulated,0,super,yes,142.26574194890307,1,simulated
simulated,0,super,yes,142.5206807512217,1,simulated
simulated,0,super,yes,142.55471172227308,1,simulated
simulated,0,super,yes,140.35366419443014,1,simulated
simulated,0,super,yes,141.16656202389066,1,simulated
simulated,0,super,yes,142.0919866935087,1,simulated
simulated,0,super,yes,141.6893578633051,1,simulated
simulated,0,super,yes,142.5525890084746,1,simulated
simulated,0,super,yes,140.7371646250924,1,simulated
simulated,0,super,yes,141.69242746925013,1,simulated
simulated,0,super,yes,141.63928416089138,1,simulated
simulated,0,super,yes,141.74514412464237,1,simulated
simulated,0,super,yes,143.01827757353487,1,simulated
simulated,0,super,yes,141.29078239916555,1,simulated
simulated,0,super,yes,141.28930723083178,1,simulated
simulated,0,super,yes,141.34045814467618,1,simulated
simulated,0,super,yes,140.6545829788301,1,simulated
simulated,0,super,yes,140.42572564439644,1,simulated
simulated,0,super,yes,141.34002213670004,1,simulated
simulated,0,super,yes,140.88848322437394,1,simulated
simulated,0,super,yes,140.97062221494178,1,simulated
simulated,0,super,yes,140.80527320941295,1,simulated
simulated,0,super,yes,140.42128070672118,1,simulated
simulated,0,super,yes,140.3576992704777,1,simulated
simulated,0,super,yes,140.66100466533538,1,simulated
simulated,0,super,yes,140.18856870538318,1,simulated
simulated,0,super,yes,141.78079483581237,1,simulated
simulated,0,super,yes,140.90413793136045,1,simulated
simulated,0,super,yes,140.15691893070297,1,simulated
simulated,0,super,yes,140.8758743174042,1,simulated
simulated,0,super,yes,141.28755252707793,1,simulated
simulated,0,super,yes,139.94892531875726,1,simulated
simulated,0,super,yes,141.49732572950535,1,simulated
simulated,0,super,yes,140.63996063781474,1,simulated
simulated,0,super,yes,141.07422304116855,1,simulated
simulated,0,super,yes,140.83291757021362,1,simulated
simulated,0,super,yes,141.03334116626127,1,simulated
simulated,0,super,yes,140.97442628747436,1,simulated
simulated,0,super,yes,140.72907635713395,1,simulated
simulated,0,super,yes,140.87607387578936,1,simulated
simulated,0,super,yes,140.5693370664556,1,simulated
simulated,0,super,yes,140.8929986987459,1,simulated
simulated,0,super,yes,140.26442476338124,1,simulated
simulated,0,super,yes,140.71292592178548,1,simulated
simulated,0,super,yes,139.43244408434046,1,simulated
simulated,0,super,yes,139.6779803478826,1,simulated
simulated,0,super,yes,140.99024507280046,1,simulated
simulated,0,super,yes,140.85260794830964,1,simulated
simulated,0,super,yes,140.6868328049706,1,simulated
simulated,0,super,yes,141.59166963611335,1,simulated
simulated,0,super,yes,140.17571011783448,1,simulated
simulated,0,super,yes,140.63676255648946,1,simulated
simulated,0,super,yes,141.36584469372394,1,simulated
simulated,0,super,yes,140.83168450378605,1,simulated
simulated,0,super,yes,140.4920144217108,1,simulated
simulated,0,super,yes,141.57086959250566,1,simulated
simulated,0,super,yes,141.54260069439675,1,simulated
simulated,0,super,yes,140.58530510866146,1,simulated
simulated,0,super,yes,141.38883692415087,1,simulated
simulated,0,super,yes,140.61737496313904,1,simulated
simulated,0,super,yes,139.94991209744126,1,simulated
simulated,0,super,yes,140.6791061249633,1,simulated
simulated,0,super,yes,140.68860382863355,1,simulated
simulated,0,super,yes,140.09661842310024,1,simulated
simulated,0,super,yes,140.56915199985528,1,simulated
simulated,0,super,yes,141.23652199374445,1,simulated
simulated,0,super,yes,141.50531768237428,1,simulated
simulated,0,super,yes,141.54811086418545,1,simulated
simulated,0,super,yes,141.09857939565006,1,simulated
simulated,0,super,yes,140.77702714002595,1,simulated
simulated,0,super,yes,142.46322604445191,1,simulated
simulated,0,super,yes,142.17151676811824,1,simulated
simulated,0,super,yes,141.55171433477943,1,simulated
simulated,0,super,yes,140.9501324996796,1,simulated
simulated,0,super,yes,142.3062943077132,1,simulated
simulated,0,super,yes,141.43347327747637,1,simulated
simulated,0,super,yes,141.53736012753026,1,simulated
simulated,0,super,yes,141.08653263973002,1,simulated
simulated,0,super,yes,141.8569891131913,1,simulated
simulated,0,super,yes,142.311136776567,1,simulated
simulated,0,super,yes,141.48968510381735,1,simulated
simulated,0,super,yes,141.4923545840026,1,simulated
simulated,0,super,yes,142.08005192578983,1,simulated
simulated,0,super,yes,141.77898033717338,1,simulated
simulated,0,super,yes,141.77155181702807,1,simulated
simulated,0,super,yes,141.3776616302198,1,simulated
simulated,0,super,yes,141.9499488560804,1,simulated
simulated,0,super,yes,141.28134695154597,1,simulated
simulated,0,super,yes,141.66584355389023,1,simulated
simulated,0,super,yes,140.51121152540028,1,simulated
simulated,0,super,yes,140.6768691182762,1,simulated
simulated,0,super,yes,140.60147433359504,1,simulated
simulated,0,super,yes,140.0908289450871,1,simulated
simulated,0,super,yes,141.49410390680407,1,simulated
simulated,0,super,yes,141.2071665282551,1,simulated
simulated,0,super,yes,141.17468798640263,1,simulated
simulated,0,super,yes,141.76300185170956,1,simulated
simulated,0,super,yes,140.8283958485372,1,simulated
simulated,0,super,yes,141.770681413711,1,simulated
simulated,0,super,yes,141.69197412542505,1,simulated
simulated,0,super,yes,142.64723339829175,1,simulated
simulated,0,super,yes,141.56019159985877,1,simulated
simulated,0,super,yes,141.06188874503408,1,simulated
simulated,0,super,yes,141.53012282014768,1,simulated
simulated,0,super,yes,142.2765201695218,1,simulated
simulated,0,super,yes,141.29206031442303,1,simulated
simulated,0,super,yes,141.95642685599123,1,simulated
simulated,0,super,yes,141.5335400530666,1,simulated
simulated,0,super,yes,140.61672067466444,1,simulated
simulated,0,super,yes,140.51165782651734,1,simulated
simulated,0,super,yes,140.95583535498963,1,simulated
simulated,0,super,yes,141.74872527409846,1,simulated
simulated,0,super,yes,140.5609934179168,1,simulated
simulated,0,super,yes,142.50687255533967,1,simulated
simulated,0,super,yes,140.4768329163994,1,simulated
simulated,1,super,yes,139.4906019853996,1,simulated
simulated,1,super,yes,140.48351442951878,1,simulated
simulated,1,super,yes,141.0305873147913,1,simulated
simulated,1,super,yes,139.57587857163992,1,simulated
simulated,1,super,yes,140.7562889098486,1,simulated
simulated,1,super,yes,141.8571892360573,1,simulated
simulated,1,super,yes,140.83270482876512,1,simulated
simulated,1,super,yes,141.71269366178592,1,simulated
simulated,1,super,yes,141.54173349175812,1,simulated
