image,category,level,response,RT,seed,model
simulated,0,super,yes,88.38358988471062,1,simulated
simulated,0,super,yes,88.3767661248548,1,simulated
simulated,0,super,yes,88.40786679887898,1,simulated
simulated,0,super,yes,89.21462751103647,1,simulated
simulated,0,super,yes,90.19612501585264,1,simulated
simulated,0,super,yes,88.92462896722004,1,simulated
simulated,0,super,yes,91.11233767130153,1,simulated
simulated,0,super,yes,88.90304759672638,1,simulated
simulated,0,super,yes,90.35696595803091,1,simulated
simulated,0,super,yes,88.8144345400954,1,simulated
simulated,0,super,yes,89.71591533141222,1,simulated
simulated,0,super,yes,89.31565668531641,1,simulated
simulated,0,super,yes,90.42382823963989,1,simulated
simulated,0,super,yes,89.41976226551037,1,simulated
simulated,0,super,yes,90.14169772516365,1,simulated
simulated,0,super,yes,88.95539417092982,1,simulated
simulated,0,super,yes,88.90475274006592,1,simulated
simulated,0,super,yes,88.3902170886782,1,simulated
simulated,0,super,yes,88.67636305747978,1,simulated
simulated,0,super,yes,93.48645692713623,1,simulated
simulated,0,super,yes,90.3381509536239,1,simulated
simulated,0,super,yes,89.468233828787,1,simulated
simulated,0,super,yes,88.71106427361683,1,simulated
simulated,0,super,yes,88.36121151196605,1,simulated
simulated,0,super,yes,89.23140478767345,1,simulated
simulated,0,super,yes,88.42734657963085,1,simulated
simulated,0,super,yes,88.53060926277934,1,simulated
simulated,0,super,yes,88.35239201898298,1,simulated
simulated,0,super,yes,88.47343095795904,1,simulated
simulated,0,super,yes,88.56379564961037,1,simulated
simulated,0,super,yes,88.98392912477499,1,simulated
simulated,0,super,yes,89.02398421132109,1,simulated
simulated,0,super,yes,88.36450298548942,1,simulated
simulated,0,super,yes,88.5123706685214,1,simulated
simulated,0,super,yes,88.2046917301493,1,simulated
simulated,0,super,yes,88.40701515821942,1,simulated
simulated,0,super,yes,90.66216362985844,1,simulated
simulated,0,super,yes,88.9427303234043,1,simulated
simulated,0,super,yes,89.64136680774114,1,simulated
simulated,0,super,yes,88.18957728196028,1,simulated
simulated,0,super,yes,88.2715959512769,1,simulated
simulated,0,super,yes,91.9352969812835,1,simulated
simulated,0,super,yes,89.11291088728055,1,simulated
simulated,0,super,yes,88.17225003082491,1,simulated
simulated,0,super,yes,88.17431959100745,1,simulated
simulated,0,super,yes,89.23380233917472,1,simulated
simulated,0,super,yes,90.61276546951653,1,simulated
simulated,0,super,yes,88.38845467448283,1,simulated
simulated,0,super,yes,90.48997541172882,1,simulated
simulated,0,super,yes,89.9964377436908,1,simulated
simulated,0,super,yes,88.05784845746999,1,simulated
simulated,0,super,yes,89.30195410368601,1,simulated
simulated,0,super,yes,89.40122459529374,1,simulated
simulated,0,super,yes,89.47006211685579,1,simulated
simulated,0,super,yes,89.0876774112189,1,simulated
simulated,0,super,yes,88.35431394495515,1,simulated
simulated,0,super,yes,88.24797647847464,1,simulated
simulated,0,super,yes,88.20525941579945,1,simulated
simulated,0,super,yes,88.68720682376664,1,simulated
simulated,0,super,yes,88.54638144837975,1,simulated
simulated,0,super,yes,88.24052479445722,1,simulated
simulated,0,super,yes,91.6580048948337,1,simulated
simulated,0,super,yes,89.0888245869374,1,simulated
simulated,0,super,yes,88.28084126021584,1,simulated
simulated,0,super,yes,88.00161595152011,1,simulated
simulated,0,super,yes,88.25145865567684,1,simulated
simulated,0,super,yes,88.74378084190512,1,simulated
simulated,0,super,yes,88.23323155216467,1,simulated
simulated,0,super,yes,88.62459989654138,1,simulated
simulated,0,super,yes,88.84507596777577,1,simulated
simulated,0,super,yes,88.08447814854205,1,simulated
simulated,0,super,yes,90.70037249375274,1,simulated
simulated,0,super,yes,88.05722050337589,1,simulated
simulated,0,super,yes,87.9776462964545,1,simulated
simulated,0,super,yes,87.9991323317145,1,simulated
simulated,0,super,yes,88.33362625997145,1,simulated
simulated,0,super,yes,88.47852859148483,1,simulated
simulated,0,super,yes,88.05799815487931,1,simulated
simulated,0,super,yes,89.6187653397722,1,simulated
simulated,0,super,yes,87.97247277875448,1,simulated
simulated,0,super,yes,91.60675767551707,1,simulated
simulated,0,super,yes,91.24713072063491,1,simulated
simulated,0,super,yes,89.04384019060464,1,simulated
simulated,0,super,yes,87.98561768432546,1,simulated
simulated,0,super,yes,89.54162228312124,1,simulated
simulated,0,super,yes,89.17412135845761,1,simulated
simulated,0,super,yes,88.43791968418184,1,simulated
