image,category,level,response,RT,seed,model
simulated,0,super,yes,81.89337050730676,1,simulated
simulated,0,super,yes,81.90516850323941,1,simulated
simulated,0,super,yes,81.85424488630154,1,simulated
simulated,0,super,yes,81.88230368446168,1,simulated
simulated,0,super,yes,81.88556715425162,1,simulated
simulated,0,super,yes,81.86741961954402,1,simulated
simulated,0,super,yes,81.87027799122194,1,simulated
simulated,0,super,yes,81.85952310384467,1,simulated
simulated,0,super,yes,81.87548558621303,1,simulated
simulated,0,super,yes,81.85992409250902,1,simulated
simulated,0,super,yes,81.88281965320014,1,simulated
simulated,0,super,yes,81.85682455758271,1,simulated
simulated,0,super,yes,81.86999679264217,1,simulated
simulated,0,super,yes,81.8855285688227,1,simulated
simulated,0,super,yes,81.88567657110997,1,simulated
simulated,0,super,yes,81.86637862313634,1,simulated
simulated,0,super,yes,81.87765643197704,1,simulated
simulated,0,super,yes,81.87135216983395,1,simulated
simulated,0,super,yes,81.86817063025721,1,simulated
simulated,0,super,yes,81.88612104369442,1,simulated
simulated,0,super,yes,81.85987944556173,1,simulated
simulated,0,super,yes,81.88147509310922,1,simulated
simulated,0,super,yes,81.85843826856866,1,simulated
simulated,0,super,yes,81.87359954103606,1,simulated
simulated,0,super,yes,81.87545018450089,1,simulated
simulated,0,super,yes,81.87604041365728,1,simulated
simulated,0,super,yes,81.87624805541896,1,simulated
simulated,0,super,yes,81.88301623754667,1,simulated
simulated,0,super,yes,81.90984824980563,1,simulated
simulated,0,super,yes,81.84870031032663,1,simulated
simulated,0,super,yes,81.90502825243908,1,simulated
simulated,0,super,yes,81.877134630362,1,simulated
simulated,0,super,yes,81.87427069570633,1,simulated
simulated,0,super,yes,81.85739400060768,1,simulated
simulated,0,super,yes,81.86024197132002,1,simulated
simulated,0,super,yes,81.87777048752864,1,simulated
simulated,0,super,yes,81.87972674539496,1,simulated
simulated,0,super,yes,81.89764870917486,1,simulated
simulated,0,super,yes,81.892992111389,1,simulated
simulated,0,super,yes,81.88390268789486,1,simulated
simulated,0,super,yes,81.89988283994566,1,simulated
simulated,0,super,yes,81.87902242221243,1,simulated
simulated,0,super,yes,81.88459225810037,1,simulated
simulated,0,super,yes,81.89124526710005,1,simulated
simulated,0,super,yes,81.89304438889098,1,simulated
simulated,0,super,yes,81.87317646302225,1,simulated
simulated,0,super,yes,81.89019472192193,1,simulated
simulated,0,super,yes,81.85329063632913,1,simulated
simulated,0,super,yes,81.87572300964888,1,simulated
simulated,0,super,yes,81.89101984774287,1,simulated
simulated,0,super,yes,81.89402580273361,1,simulated
simulated,0,super,yes,81.8667618542134,1,simulated
simulated,0,super,yes,81.90522574762896,1,simulated
simulated,0,super,yes,81.88264451516852,1,simulated
simulated,0,super,yes,81.88858427002528,1,simulated
simulated,0,super,yes,81.84537725096276,1,simulated
simulated,0,super,yes,81.88962133332896,1,simulated
simulated,0,super,yes,81.86338985652384,1,simulated
simulated,0,super,yes,81.87909603473064,1,simulated
simulated,0,super,yes,81.88953630251333,1,simulated
simulated,0,super,yes,81.87612723800508,1,simulated
simulated,0,super,yes,81.83368589708122,1,simulated
simulated,0,super,yes,81.88943061301048,1,simulated
simulated,0,super,yes,81.90498424129571,1,simulated
simulated,0,super,yes,81.85994773248751,1,simulated
simulated,0,super,yes,81.87370308134352,1,simulated
simulated,0,super,yes,81.88399955372267,1,simulated
simulated,0,super,yes,81.88499331686907,1,simulated
simulated,0,super,yes,81.86410022827054,1,simulated
simulated,0,super,yes,81.88364057294288,1,simulated
simulated,0,super,yes,81.87792737791766,1,simulated
simulated,0,super,yes,81.88758388212942,1,simulated
simulated,0,super,yes,81.88604762922749,1,simulated
simulated,0,super,yes,81.86755126589047,1,simulated
simulated,0,super,yes,81.88181476425353,1,simulated
simulated,0,super,yes,81.8904725801252,1,simulated
simulated,0,super,yes,81.89903959748744,1,simulated
simulated,0,super,yes,81.90021054037831,1,simulated
simulated,0,super,yes,81.88577089121937,1,simulated
simulated,0,super,yes,81.8610341096802,1,simulated
simulated,0,super,yes,81.89157645593895,1,simulated
simulated,0,super,yes,81.8845312112401,1,simulated
simulated,0,super,yes,81.86987548808051,1,simulated
simulated,0,super,yes,81.89098657986342,1,simulated
simulated,0,super,yes,81.85728194996626,1,simulated
simulated,0,super,yes,81.89952524233475,1,simulated
simulated,0,super,yes,81.89880241392592,1,simulated
simulated,0,super,yes,81.86931875273818,1,simulated
simulated,0,super,yes,81.88467713142374,1,simulated
simulated,0,super,yes,81.8837510431138,1,simulated
simulated,0,super,yes,81.89004175888525,1,simulated
simulated,0,super,yes,81.8925892755166,1,simulated
simulated,0,super,yes,81.86228745192813,1,simulated
simulated,0,super,yes,81.89629739904038,1,simulated
simulated,0,super,yes,81.89543599446728,1,simulated
