image,category,level,response,RT,seed,model
simulated,0,super,yes,99.05422246359801,1,simulated
simulated,0,super,yes,97.663302482988,1,simulated
simulated,0,super,yes,99.78940250536415,1,simulated
simulated,0,super,yes,99.78430477414139,1,simulated
simulated,0,super,yes,99.80801457752374,1,simulated
simulated,0,super,yes,99.66668869357186,1,simulated
simulated,0,super,yes,98.07317554356115,1,simulated
simulated,0,super,yes,97.05191418037784,1,simulated
simulated,0,super,yes,98.37437304313069,1,simulated
simulated,0,super,yes,99.43757216742438,1,simulated
simulated,0,super,yes,97.87062891845089,1,simulated
simulated,0,super,yes,99.43389986632592,1,simulated
simulated,0,super,yes,99.18005738241581,1,simulated
simulated,0,super,yes,97.65541703310573,1,simulated
simulated,0,super,yes,98.0132958193994,1,simulated
simulated,0,super,yes,97.98894848102005,1,simulated
simulated,0,super,yes,99.06084700335806,1,simulated
simulated,0,super,yes,98.28779066652427,1,simulated
simulated,0,super,yes,98.08101057874231,1,simulated
simulated,0,super,yes,98.65952339722726,1,simulated
simulated,0,super,yes,96.4953822853342,1,simulated
simulated,0,super,yes,97.24771824786336,1,simulated
simulated,0,super,yes,98.19681030089303,1,simulated
simulated,0,super,yes,98.68671870735037,1,simulated
simulated,0,super,yes,99.00076246566726,1,simulated
simulated,0,super,yes,99.76051002955386,1,simulated
simulated,0,super,yes,98.36841813360932,1,simulated
simulated,0,super,yes,99.15982280309586,1,simulated
simulated,0,super,yes,97.90696394287463,1,simulated
simulated,0,super,yes,98.40268696633677,1,simulated
simulated,0,super,yes,99.17591909300089,1,simulated
simulated,0,super,yes,98.10262975735687,1,simulated
simulated,0,super,yes,97.86748892428972,1,simulated
simulated,0,super,yes,99.2931638698635,1,simulated
simulated,0,super,yes,99.28203079308197,1,simulated
simulated,0,super,yes,97.68499987240394,1,simulated
simulated,0,super,yes,97.52007010649523,1,simulated
simulated,0,super,yes,99.71628973525108,1,simulated
simulated,0,super,yes,98.2531351046846,1,simulated
simulated,0,super,yes,98.15050914230433,1,simulated
simulated,0,super,yes,99.21033692354102,1,simulated
simulated,0,super,yes,98.00235081661681,1,simulated
simulated,0,super,yes,99.09985349778489,1,simulated
simulated,0,super,yes,98.37531302174003,1,simulated
simulated,0,super,yes,99.48092101951838,1,simulated
simulated,0,super,yes,99.01400557222752,1,simulated
simulated,0,super,yes,98.35938888041602,1,simulated
simulated,0,super,yes,99.6191661435296,1,simulated
simulated,0,super,yes,99.7980746808227,1,simulated
simulated,0,super,yes,98.53874074885246,1,simulated
simulated,0,super,yes,99.93966116746981,1,simulated
simulated,0,super,yes,99.75521356619193,1,simulated
simulated,0,super,yes,99.49165416057983,1,simulated
simulated,0,super,yes,98.1481338508962,1,simulated
simulated,0,super,yes,100.10332590999047,1,simulated
simulated,0,super,yes,98.7219831899925,1,simulated
simulated,0,super,yes,99.37269173560883,1,simulated
simulated,0,super,yes,99.9848569494845,1,simulated
simulated,0,super,yes,97.03252621630983,1,simulated
simulated,0,super,yes,98.42367997227144,1,simulated
simulated,0,super,yes,99.14236581680463,1,simulated
simulated,0,super,yes,99.06584529259077,1,simulated
simulated,0,super,yes,99.3495124380758,1,simulated
simulated,0,super,yes,98.73584543279922,1,simulated
simulated,0,super,yes,97.63058414990601,1,simulated
simulated,0,super,yes,98.29933313249975,1,simulated
simulated,0,super,yes,100.85176776793367,1,simulated
simulated,0,super,yes,97.96814403994163,1,simulated
simulated,0,super,yes,98.61946872538331,1,simulated
simulated,0,super,yes,98.5551294104285,1,simulated
simulated,0,super,yes,99.32466376283759,1,simulated
simulated,0,super,yes,98.66960926114582,1,simulated
simulated,0,super,yes,97.30148023986635,1,simulated
simulated,0,super,yes,97.92657348292813,1,simulated
simulated,0,super,yes,99.02784726890167,1,simulated
simulated,0,super,yes,98.93751260320195,1,simulated
simulated,0,super,yes,99.82900308836487,1,simulated
simulated,0,super,yes,98.45558488705261,1,simulated
simulated,0,super,yes,99.16273204862473,1,simulated
simulated,0,super,yes,98.39618940626177,1,simulated
simulated,0,super,yes,99.17065618364227,1,simulated
simulated,0,super,yes,98.58041515876454,1,simulated
simulated,0,super,yes,97.84032463379683,1,simulated
simulated,0,super,yes,98.04455836554452,1,simulated
simulated,0,super,yes,98.32137492722123,1,simulated
simulated,0,super,yes,98.92757958262396,1,simulated
simulated,0,super,yes,99.54383323471741,1,simulated
simulated,0,super,yes,97.93684333188939,1,simulated
simulated,0,super,yes,98.91137144738501,1,simulated
simulated,0,super,yes,99.65992233311006,1,simulated
simulated,0,super,yes,99.16302802124851,1,simulated
simulated,0,super,yes,97.259079875005,1,simulated
simulated,0,super,yes,98.92319018757082,1,simulated
simulated,0,super,yes,99.47094230400604,1,simulated
simulated,0,super,yes,99.78648792877186,1,simulated
simulated,0,super,yes,99.03062977067533,1,simulated
simulated,0,super,yes,100.19985881175982,1,simulated
simulated,0,super,yes,98.78035704256867,1,simulated
simulated,0,super,yes,98.17681049129808,1,simulated
simulated,0,super,yes,98.44272259252708,1,simulated
simulated,0,super,yes,97.28019791430754,1,simulated
simulated,0,super,yes,98.68339968199903,1,simulated
simulated,0,super,yes,99.00398493692322,1,simulated
simulated,0,super,yes,97.91050456946687,1,simulated
simulated,0,super,yes,99.55820012856353,1,simulated
simulated,0,super,yes,99.35219076151196,1,simulated
simulated,0,super,yes,99.64427650644224,1,simulated
simulated,0,super,yes,99.33513954636643,1,simulated
simulated,0,super,yes,98.89818608696315,1,simulated
simulated,0,super,yes,98.42724127964625,1,simulated
simulated,0,super,yes,97.7947967263535,1,simulated
simulated,0,super,yes,97.77923828689315,1,simulated
simulated,0,super,yes,98.30215736607408,1,simulated
simulated,0,super,yes,98.93339892928336,1,simulated
simulated,0,super,yes,96.29194205589296,1,simulated
simulated,0,super,yes,98.24389754912036,1,simulated
simulated,0,super,yes,99.25282665657869,1,simulated
simulated,0,super,yes,98.5931374551591,1,simulated
simulated,0,super,yes,98.57845903500149,1,simulated
simulated,0,super,yes,99.08981734995574,1,simulated
simulated,0,super,yes,98.70405314063466,1,simulated
simulated,0,super,yes,98.81545382873684,1,simulated
simulated,0,super,yes,98.5496707272115,1,simulated
simulated,0,super,yes,99.8570469642809,1,simulated
simulated,0,super,yes,98.42447948033832,1,simulated
simulated,0,super,yes,97.64319432045922,1,simulated
simulated,0,super,yes,99.1629046859829,1,simulated
simulated,0,super,yes,99.6636995212553,1,simulated
simulated,0,super,yes,98.4942839811969,1,simulated
simulated,0,super,yes,98.00001705339595,1,simulated
simulated,0,super,yes,99.37458281881204,1,simulated
simulated,0,super,yes,98.17876359584244,1,simulated
simulated,0,super,yes,97.93889731980083,1,simulated
simulated,0,super,yes,98.39895985246663,1,simulated
simulated,0,super,yes,99.21156584614216,1,simulated
simulated,0,super,yes,99.51308498758898,1,simulated
simulated,0,super,yes,98.0405213882125,1,simulated
simulated,0,super,yes,99.47887488672662,1,simulated
simulated,0,super,yes,97.78657134446703,1,simulated
simulated,0,super,yes,98.30413412430367,1,simulated
simulated,0,super,yes,99.58065605295766,1,simulated
simulated,0,super,yes,99.55034546053598,1,simulated
simulated,0,super,yes,99.53000307022398,1,simulated
simulated,0,super,yes,97.82912452939787,1,simulated
simulated,0,super,yes,98.20542695612752,1,simulated
simulated,0,super,yes,99.24994770724854,1,simulated
simulated,0,super,yes,99.93567584699466,1,simulated
simulated,0,super,yes,99.70982134887461,1,simulated
simulated,0,super,yes,98.92136497448992,1,simulated
simulated,0,super,yes,97.84197172997686,1,simulated
simulated,0,super,yes,97.99395255396301,1,simulated
simulated,0,super,yes,99.09383548822153,1,simulated
simulated,0,super,yes,98.03562324991951,1,simulated
simulated,0,super,yes,97.95847021295289,1,simulated
simulated,0,super,yes,97.08271529169566,1,simulated
simulated,0,super,yes,98.30540623578656,1,simulated
simulated,0,super,yes,97.86568324835555,1,simulated
simulated,0,super,yes,99.31575118657798,1,simulated
simulated,0,super,yes,99.2107244124394,1,simulated
simulated,0,super,yes,97.57246951373911,1,simulated
simulated,0,super,yes,98.35397025435503,1,simulated
simulated,0,super,yes,99.2468159753571,1,simulated
simulated,0,super,yes,99.38413146984078,1,simulated
simulated,0,super,yes,98.20802652174237,1,simulated
simulated,0,super,yes,98.67052409019071,1,simulated
simulated,0,super,yes,99.2511447366489,1,simulated
simulated,0,super,yes,98.3728321585947,1,simulated
simulated,0,super,yes,98.99519924118029,1,simulated
simulated,0,super,yes,99.13477038203246,1,simulated
simulated,0,super,yes,98.75884132577559,1,simulated
simulated,0,super,yes,98.2225100309354,1,simulated
simulated,0,super,yes,99.3489842131638,1,simulated
simulated,0,super,yes,98.29666002185328,1,simulated
simulated,0,super,yes,98.98384175831116,1,simulated
simulated,0,super,yes,99.35183096721812,1,simulated
simulated,0,super,yes,98.967322655838,1,simulated
simulated,0,super,yes,99.22708293830549,1,simulated
simulated,0,super,yes,96.49266437887422,1,simulated
simulated,0,super,yes,98.17468855503827,1,simulated
simulated,0,super,yes,97.84736235371504,1,simulated
simulated,0,super,yes,97.99049288253354,1,simulated
simulated,0,super,yes,99.1812526622872,1,simulated
simulated,0,super,yes,98.47125638072382,1,simulated
simulated,0,super,yes,98.32856320429742,1,simulated
simulated,0,super,yes,98.64919068743046,1,simulated
simulated,0,super,yes,97.49280153855017,1,simulated
simulated,0,super,yes,98.30527116439987,1,simulated
simulated,0,super,yes,98.95775263091016,1,simulated
