image,category,level,response,RT,seed,model
simulated,0,super,yes,83.804979068693,1,simulated
simulated,0,super,yes,83.81971745070082,1,simulated
simulated,0,super,yes,83.77327255337808,1,simulated
simulated,0,super,yes,83.78809269531932,1,simulated
simulated,0,super,yes,83.80885138472613,1,simulated
simulated,0,super,yes,83.83525994018122,1,simulated
simulated,0,super,yes,83.81661020178015,1,simulated
simulated,0,super,yes,83.81145200076818,1,simulated
simulated,0,super,yes,83.80290760586902,1,simulated
simulated,0,super,yes,83.77143405050433,1,simulated
simulated,0,super,yes,83.83515791366332,1,simulated
simulated,0,super,yes,83.75702204495514,1,simulated
simulated,0,super,yes,83.8361601176963,1,simulated
simulated,0,super,yes,83.75609154077807,1,simulated
simulated,0,super,yes,83.79370720146937,1,simulated
simulated,0,super,yes,83.80621305705516,1,simulated
simulated,0,super,yes,83.83902300576479,1,simulated
simulated,0,super,yes,83.78609467322181,1,simulated
simulated,0,super,yes,83.8033985317253,1,simulated
simulated,0,super,yes,83.79268954906105,1,simulated
simulated,0,super,yes,83.80714728662277,1,simulated
simulated,0,super,yes,83.76540648662812,1,simulated
simulated,0,super,yes,83.81070513379639,1,simulated
simulated,0,super,yes,83.82706977264885,1,simulated
simulated,0,super,yes,83.81637185739251,1,simulated
simulated,0,super,yes,83.77930385422725,1,simulated
simulated,0,super,yes,83.77584619843336,1,simulated
simulated,0,super,yes,83.79883891838867,1,simulated
simulated,0,super,yes,83.81478269041516,1,simulated
simulated,0,super,yes,83.80867221542573,1,simulated
simulated,0,super,yes,83.79742011453689,1,simulated
simulated,0,super,yes,83.81878343540217,1,simulated
simulated,0,super,yes,83.84943467103173,1,simulated
simulated,0,super,yes,83.75004445725453,1,simulated
simulated,0,super,yes,83.79177733404534,1,simulated
simulated,0,super,yes,83.77988689149143,1,simulated
simulated,0,super,yes,83.77731569068717,1,simulated
simulated,0,super,yes,83.74397267528275,1,simulated
simulated,0,super,yes,83.72767187273931,1,simulated
simulated,0,super,yes,83.78838028490257,1,simulated
simulated,0,super,yes,83.78615942095237,1,simulated
simulated,0,super,yes,83.8058436368755,1,simulated
simulated,0,super,yes,83.81958030185399,1,simulated
simulated,0,super,yes,83.82357707848642,1,simulated
simulated,0,super,yes,83.72858054185494,1,simulated
simulated,0,super,yes,83.7929517597813,1,simulated
simulated,0,super,yes,83.81612392326726,1,simulated
simulated,0,super,yes,83.78168126642996,1,simulated
simulated,0,super,yes,83.76459799340142,1,simulated
simulated,0,super,yes,83.76130915866703,1,simulated
simulated,0,super,yes,83.78054067177133,1,simulated
simulated,0,super,yes,83.76867580265586,1,simulated
simulated,0,super,yes,83.77369783128647,1,simulated
simulated,0,super,yes,83.83746961660574,1,simulated
simulated,0,super,yes,83.82124978139582,1,simulated
simulated,0,super,yes,83.76336784227018,1,simulated
simulated,0,super,yes,83.7929049583146,1,simulated
simulated,0,super,yes,83.76596684267972,1,simulated
simulated,0,super,yes,83.74726925727764,1,simulated
simulated,0,super,yes,83.8015973951715,1,simulated
simulated,0,super,yes,83.82820368077638,1,simulated
simulated,0,super,yes,83.79499831363488,1,simulated
simulated,0,super,yes,83.77580518885718,1,simulated
simulated,0,super,yes,83.80200500033637,1,simulated
simulated,0,super,yes,83.75871196756664,1,simulated
simulated,0,super,yes,83.80608145268813,1,simulated
simulated,0,super,yes,83.76747469324373,1,simulated
simulated,0,super,yes,83.7844865090166,1,simulated
simulated,0,super,yes,83.76938544776692,1,simulated
simulated,0,super,yes,83.71839241047834,1,simulated
simulated,0,super,yes,83.72861705129753,1,simulated
simulated,0,super,yes,83.7438664960733,1,simulated
simulated,0,super,yes,83.79592820597159,1,simulated
simulated,0,super,yes,83.80025882739884,1,simulated
simulated,0,super,yes,83.75717166848983,1,simulated
simulated,0,super,yes,83.75477588312204,1,simulated
simulated,0,super,yes,83.75554910383026,1,simulated
simulated,0,super,yes,83.7680931629017,1,simulated
simulated,0,super,yes,83.75330385795863,1,simulated
simulated,0,super,yes,83.76142132645074,1,simulated
simulated,0,super,yes,83.8011333047523,1,simulated
simulated,0,super,yes,83.77408076575495,1,simulated
simulated,0,super,yes,83.74290033149795,1,simulated
simulated,0,super,yes,83.76178385334295,1,simulated
simulated,0,super,yes,83.75284613601046,1,simulated
simulated,0,super,yes,83.7424036025406,1,simulated
simulated,0,super,yes,83.80570771517182,1,simulated
simulated,0,super,yes,83.77766803756455,1,simulated
simulated,0,super,yes,83.75637257313231,1,simulated
simulated,0,super,yes,83.78807909684929,1,simulated
simulated,0,super,yes,83.80994560967724,1,simulated
simulated,0,super,yes,83.77625945787932,1,simulated
simulated,0,super,yes,83.8007048437109,1,simulated
simulated,0,super,yes,83.74387993528119,1,simulated
simulated,0,super,yes,83.7889571743196,1,simulated
simulated,0,super,yes,83.75649188071941,1,simulated
simulated,0,super,yes,83.80501670221328,1,simulated
simulated,0,super,yes,83.76624492709068,1,simulated
simulated,0,super,yes,83.81007304056125,1,simulated
simulated,0,super,yes,83.75738374252893,1,simulated
simulated,0,super,yes,83.76566137602846,1,simulated
simulated,0,super,yes,83.76506817763628,1,simulated
simulated,0,super,yes,83.77052065612743,1,simulated
simulated,0,super,yes,83.75331100168935,1,simulated
simulated,0,super,yes,83.83071667733824,1,simulated
simulated,0,super,yes,83.7372198067594,1,simulated
simulated,0,super,yes,83.76139021588871,1,simulated
simulated,0,super,yes,83.7855618632009,1,simulated
simulated,0,super,yes,83.75696482458721,1,simulated
simulated,0,super,yes,83.81380086137082,1,simulated
simulated,0,super,yes,83.76879203670237,1,simulated
simulated,0,super,yes,83.77930920728605,1,simulated
simulated,0,super,yes,83.79073759768697,1,simulated
simulated,0,super,yes,83.8136445921359,1,simulated
simulated,0,super,yes,83.80272484454676,1,simulated
simulated,0,super,yes,83.75861327621897,1,simulated
simulated,0,super,yes,83.74480297159133,1,simulated
simulated,0,super,yes,83.78995764959038,1,simulated
simulated,0,super,yes,83.75438725752161,1,simulated
simulated,0,super,yes,83.77586395428864,1,simulated
simulated,0,super,yes,83.74771611585874,1,simulated
simulated,0,super,yes,83.80333974831628,1,simulated
simulated,0,super,yes,83.83335314590784,1,simulated
simulated,0,super,yes,83.73881562257533,1,simulated
simulated,0,super,yes,83.8126195733062,1,simulated
simulated,0,super,yes,83.7520537614917,1,simulated
simulated,0,super,yes,83.75685964479867,1,simulated
simulated,0,super,yes,83.79761699283189,1,simulated
simulated,0,super,yes,83.81686066331716,1,simulated
simulated,0,super,yes,83.76721108084884,1,simulated
simulated,0,super,yes,83.7695917084587,1,simulated
simulated,0,super,yes,83.79622572712998,1,simulated
simulated,0,super,yes,83.76298701595148,1,simulated
simulated,0,super,yes,83.79601280948877,1,simulated
simulated,0,super,yes,83.7240939344258,1,simulated
simulated,0,super,yes,83.7485744919244,1,simulated
simulated,0,super,yes,83.75904561788926,1,simulated
simulated,0,super,yes,83.8151228667975,1,simulated
simulated,0,super,yes,83.76596749059834,1,simulated
simulated,0,super,yes,83.83411581513076,1,simulated
simulated,0,super,yes,83.76269115190966,1,simulated
simulated,0,super,yes,83.76658911496298,1,simulated
simulated,0,super,yes,83.76725725455039,1,simulated
simulated,0,super,yes,83.78215265083331,1,simulated
simulated,0,super,yes,83.7657636975549,1,simulated
simulated,0,super,yes,83.76918530946239,1,simulated
simulated,0,super,yes,83.7923364143799,1,simulated
simulated,0,super,yes,83.7451538989988,1,simulated
simulated,0,super,yes,83.76433311413331,1,simulated
simulated,0,super,yes,83.77897203029536,1,simulated
simulated,0,super,yes,83.79950440617279,1,simulated
simulated,0,super,yes,83.83321156155353,1,simulated
simulated,0,super,yes,83.81023046127454,1,simulated
simulated,0,super,yes,83.79703681684829,1,simulated
simulated,0,super,yes,83.80538370932473,1,simulated
simulated,0,super,yes,83.81418086368434,1,simulated
simulated,0,super,yes,83.80813687202377,1,simulated
simulated,0,super,yes,83.8000545448003,1,simulated
simulated,0,super,yes,83.77447162258053,1,simulated
simulated,0,super,yes,83.78029204561433,1,simulated
simulated,0,super,yes,83.80198812932277,1,simulated
simulated,0,super,yes,83.80562909932465,1,simulated
