image,category,level,response,RT,seed,model
simulated,0,super,yes,86.91930626523713,1,simulated
simulated,0,super,yes,86.97554986550568,1,simulated
simulated,0,super,yes,86.78716820282263,1,simulated
simulated,0,super,yes,86.84867178019464,1,simulated
simulated,0,super,yes,86.84144500841208,1,simulated
simulated,0,super,yes,86.97370556170696,1,simulated
simulated,0,super,yes,86.88968575593026,1,simulated
simulated,0,super,yes,86.9057454177782,1,simulated
simulated,0,super,yes,86.93937389591491,1,simulated
simulated,0,super,yes,86.9458352730341,1,simulated
simulated,0,super,yes,86.95136265677307,1,simulated
simulated,0,super,yes,86.84445726619373,1,simulated
simulated,0,super,yes,86.84090930874693,1,simulated
simulated,0,super,yes,86.83632162466571,1,simulated
simulated,0,super,yes,86.97039040196161,1,simulated
simulated,0,super,yes,86.96010427420406,1,simulated
simulated,0,super,yes,86.9117466767257,1,simulated
simulated,0,super,yes,86.8830287176203,1,simulated
simulated,0,super,yes,86.85662539875585,1,simulated
simulated,0,super,yes,86.83840084499329,1,simulated
simulated,0,super,yes,86.91304902385485,1,simulated
simulated,0,super,yes,86.96921497849779,1,simulated
simulated,0,super,yes,86.91169012089965,1,simulated
simulated,0,super,yes,86.93597522338571,1,simulated
simulated,0,super,yes,86.93634229777405,1,simulated
simulated,0,super,yes,86.98685583845568,1,simulated
simulated,0,super,yes,86.81456270490115,1,simulated
simulated,0,super,yes,86.92891646297588,1,simulated
simulated,0,super,yes,86.92114949981524,1,simulated
simulated,0,super,yes,86.93294183516836,1,simulated
simulated,0,super,yes,86.99796533850409,1,simulated
simulated,0,super,yes,86.85368429825833,1,simulated
simulated,0,super,yes,86.90424101667716,1,simulated
simulated,0,super,yes,86.90323062815996,1,simulated
simulated,0,super,yes,86.82734376157771,1,simulated
simulated,0,super,yes,86.88259450232842,1,simulated
simulated,0,super,yes,86.88101397907054,1,simulated
simulated,0,super,yes,86.93591166508429,1,simulated
simulated,0,super,yes,86.91647986839642,1,simulated
simulated,0,super,yes,86.84123715579896,1,simulated
simulated,0,super,yes,86.91076952929775,1,simulated
simulated,0,super,yes,86.86782405808933,1,simulated
simulated,0,super,yes,86.86813954359894,1,simulated
simulated,0,super,yes,86.88351915851531,1,simulated
simulated,0,super,yes,86.88805139764884,1,simulated
simulated,0,super,yes,86.88901622389591,1,simulated
simulated,0,super,yes,86.92098631904085,1,simulated
simulated,0,super,yes,86.9043804248403,1,simulated
simulated,0,super,yes,86.81436753292617,1,simulated
simulated,0,super,yes,86.93777432132109,1,simulated
simulated,0,super,yes,87.12052950358596,1,simulated
simulated,0,super,yes,87.03264627743131,1,simulated
simulated,0,super,yes,87.05313566874933,1,simulated
simulated,0,super,yes,86.9895771327961,1,simulated
simulated,0,super,yes,87.15813202003504,1,simulated
simulated,0,super,yes,87.14296420850678,1,simulated
simulated,0,super,yes,87.0358795952444,1,simulated
simulated,0,super,yes,87.12161371909123,1,simulated
simulated,0,super,yes,87.07328711263673,1,simulated
simulated,0,super,yes,87.05875361767448,1,simulated
simulated,0,super,yes,87.09612111071945,1,simulated
simulated,0,super,yes,87.08593821608784,1,simulated
simulated,0,super,yes,87.10502920101496,1,simulated
simulated,0,super,yes,87.04163075962268,1,simulated
simulated,0,super,yes,87.15104159904871,1,simulated
simulated,0,super,yes,87.12621459104808,1,simulated
simulated,0,super,yes,86.98913882715162,1,simulated
simulated,0,super,yes,87.08088289648049,1,simulated
simulated,0,super,yes,87.10598046264415,1,simulated
simulated,0,super,yes,87.05646791970403,1,simulated
simulated,0,super,yes,87.11548850402039,1,simulated
simulated,0,super,yes,87.05625017528513,1,simulated
simulated,0,super,yes,87.06710757972397,1,simulated
simulated,0,super,yes,87.18819436154139,1,simulated
simulated,0,super,yes,87.093994086142,1,simulated
simulated,0,super,yes,87.10222209669111,1,simulated
simulated,0,super,yes,87.03037789802545,1,simulated
simulated,0,super,yes,87.05863486244365,1,simulated
simulated,0,super,yes,87.07201400788368,1,simulated
simulated,0,super,yes,87.15234818909558,1,simulated
simulated,0,super,yes,87.12116859002252,1,simulated
simulated,0,super,yes,87.06161335868302,1,simulated
simulated,0,super,yes,87.05743837985149,1,simulated
simulated,0,super,yes,87.13286302989845,1,simulated
simulated,0,super,yes,87.02123399452438,1,simulated
simulated,0,super,yes,87.12736019216207,1,simulated
simulated,0,super,yes,87.07256762212135,1,simulated
simulated,0,super,yes,87.11206753401453,1,simulated
simulated,0,super,yes,87.12251495880034,1,simulated
simulated,0,super,yes,87.13376196333243,1,simulated
simulated,0,super,yes,87.12136446864274,1,simulated
simulated,0,super,yes,87.09021999050002,1,simulated
simulated,0,super,yes,87.16862969112867,1,simulated
simulated,0,super,yes,87.04995440330997,1,simulated
simulated,0,super,yes,87.12822189412647,1,simulated
simulated,0,super,yes,87.15008232868544,1,simulated
simulated,0,super,yes,87.14834064638946,1,simulated
simulated,0,super,yes,87.00465145840971,1,simulated
simulated,0,super,yes,87.05000852710499,1,simulated
simulated,0,super,yes,87.08831231380397,1,simulated
simulated,0,super,yes,86.98321058639267,1,simulated
simulated,0,super,yes,86.987523949262,1,simulated
simulated,0,super,yes,86.91886314391002,1,simulated
simulated,0,super,yes,86.98660926391763,1,simulated
simulated,0,super,yes,86.91092230822613,1,simulated
simulated,0,super,yes,86.89571467595489,1,simulated
simulated,0,super,yes,86.93107275034767,1,simulated
simulated,0,super,yes,86.99056264566312,1,simulated
simulated,0,super,yes,86.94497591122504,1,simulated
simulated,0,super,yes,86.91706628011056,1,simulated
simulated,0,super,yes,86.90454677228672,1,simulated
simulated,0,super,yes,87.01002252264774,1,simulated
simulated,0,super,yes,87.06285786997677,1,simulated
simulated,0,super,yes,87.01208326672683,1,simulated
simulated,0,super,yes,86.93218295071793,1,simulated
simulated,0,super,yes,87.05396704767855,1,simulated
simulated,0,super,yes,86.94185948874808,1,simulated
simulated,0,super,yes,86.84242641885808,1,simulated
simulated,0,super,yes,87.05581819798259,1,simulated
simulated,0,super,yes,86.92945571791651,1,simulated
simulated,0,super,yes,87.00504882275537,1,simulated
simulated,0,super,yes,86.8934861908268,1,simulated
simulated,0,super,yes,86.94863254617246,1,simulated
simulated,0,super,yes,86.95763826422075,1,simulated
simulated,0,super,yes,86.91209609530596,1,simulated
simulated,0,super,yes,87.02790704783546,1,simulated
simulated,0,super,yes,86.95746516016415,1,simulated
simulated,0,super,yes,86.87991180792399,1,simulated
simulated,0,super,yes,86.99665003575198,1,simulated
simulated,0,super,yes,86.95969480886963,1,simulated
simulated,0,super,yes,86.95757667422859,1,simulated
simulated,0,super,yes,86.85896155050685,1,simulated
simulated,0,super,yes,87.00766994450466,1,simulated
simulated,0,super,yes,86.89014160453527,1,simulated
simulated,0,super,yes,86.95888273850046,1,simulated
simulated,0,super,yes,86.9778143234382,1,simulated
simulated,0,super,yes,86.9881784535781,1,simulated
simulated,0,super,yes,86.96716444245094,1,simulated
simulated,0,super,yes,86.9008568061144,1,simulated
simulated,0,super,yes,86.90156584023019,1,simulated
simulated,0,super,yes,86.99818412432114,1,simulated
simulated,0,super,yes,86.97221970505807,1,simulated
simulated,0,super,yes,86.97764307062491,1,simulated
simulated,0,super,yes,86.94105177998074,1,simulated
simulated,0,super,yes,86.93880406295624,1,simulated
simulated,0,super,yes,87.01836863774638,1,simulated
simulated,0,super,yes,86.91538454858534,1,simulated
simulated,0,super,yes,86.98163822056573,1,simulated
simulated,0,super,yes,86.93598287183421,1,simulated
simulated,0,super,yes,86.98080346326378,1,simulated
simulated,0,super,yes,87.09191456714431,1,simulated
simulated,0,super,yes,87.03977941715303,1,simulated
simulated,0,super,yes,87.0560667540829,1,simulated
simulated,0,super,yes,86.98323152943352,1,simulated
simulated,0,super,yes,86.99876463445796,1,simulated
simulated,0,super,yes,87.05091090816099,1,simulated
simulated,0,super,yes,87.04407478360316,1,simulated
simulated,0,super,yes,86.98955379154413,1,simulated
simulated,0,super,yes,87.01975337061239,1,simulated
simulated,0,super,yes,87.09682547705592,1,simulated
simulated,0,super,yes,87.11515353852324,1,simulated
simulated,0,super,yes,87.07281171718813,1,simulated
simulated,0,super,yes,86.97889938372296,1,simulated
simulated,0,super,yes,87.04335904778388,1,simulated
simulated,0,super,yes,87.03265927075459,1,simulated
simulated,0,super,yes,86.96377448388675,1,simulated
simulated,0,super,yes,87.05760502383527,1,simulated
simulated,0,super,yes,87.03083692047214,1,simulated
simulated,0,super,yes,87.02987277787177,1,simulated
simulated,0,super,yes,87.0543688975726,1,simulated
simulated,0,super,yes,86.98224211045095,1,simulated
simulated,0,super,yes,87.14116308154796,1,simulated
simulated,0,super,yes,86.97800469798092,1,simulated
simulated,0,super,yes,86.97541314617618,1,simulated
simulated,0,super,yes,86.98795372261323,1,simulated
simulated,0,super,yes,87.02503741399232,1,simulated
simulated,0,super,yes,86.93792535736085,1,simulated
simulated,0,super,yes,86.99017886577575,1,simulated
simulated,0,super,yes,87.01220688684765,1,simulated
simulated,0,super,yes,87.02055529521228,1,simulated
simulated,0,super,yes,87.0620181074688,1,simulated
simulated,0,super,yes,86.99619658543924,1,simulated
simulated,0,super,yes,86.94798519416621,1,simulated
simulated,0,super,yes,87.10339655024407,1,simulated
simulated,0,super,yes,87.0411887662159,1,simulated
simulated,0,super,yes,87.02540987529039,1,simulated
simulated,0,super,yes,86.99260761141691,1,simulated
simulated,0,super,yes,87.13340620979368,1,simulated
simulated,0,super,yes,86.94463137423121,1,simulated
simulated,0,super,yes,87.0223870454654,1,simulated
simulated,0,super,yes,86.9488659431762,1,simulated
simulated,0,super,yes,86.9921224325771,1,simulated
simulated,0,super,yes,86.9674572697715,1,simulated
simulated,0,super,yes,86.96023161466319,1,simulated
simulated,0,super,yes,87.06869821614097,1,simulated
simulated,0,super,yes,87.0488104513098,1,simulated
simulated,0,super,yes,87.01281655250892,1,simulated
simulated,0,super,yes,86.98892941231574,1,simulated
simulated,0,super,yes,87.05429137002959,1,simulated
simulated,0,super,yes,87.04150694516075,1,simulated
simulated,1,super,yes,86.96525802960531,1,simulated
simulated,1,super,yes,86.9705003026854,1,simulated
simulated,1,super,yes,86.91889867644659,1,simulated
